Data,ALE,MBK,PCO,ZAB,value
2025-12-03,27009.560906515584,45804.32392817883,40838.19718582742,27562.225475841875,141214.3074963637
2025-12-04,27394.652974504254,46124.95419567607,42155.070112130976,27354.80722303563,143029.48450534695
2025-12-05,27421.211048158642,45918.83473799927,42412.39010922477,27342.606149341143,143095.04204472384
2025-12-08,27177.762039660058,45850.128252107,41837.20423336805,27000.976085895556,141866.07061103068
2025-12-09,27850.566572237964,46262.367167460616,42366.980697972926,26939.97071742313,143419.88515509464
2025-12-10,27620.396600566575,46262.367167460616,42155.070112130976,26952.171791117617,142990.00567127578
2025-12-11,27978.930594900852,46468.48662513742,43214.62304134073,27147.38897022938,144809.4292316084
2025-12-12,27452.1954674221,46491.38878710151,44274.17597055048,26866.76427525622,145084.5245003303
2025-12-15,27784.171388101986,46949.43202638329,44758.54302390351,27428.01366520254,146920.16010359133
2025-12-16,27310.552407932013,46720.4104067424,43865.49126928386,27574.42654953636,145470.8806334946
2025-12-17,26952.018413597736,46331.07365335288,41806.93129253348,27720.83943387018,142810.8627933543
2025-12-18,27031.69263456091,46880.725540491025,42851.34775132596,28245.48560273304,145009.25152911094
2025-12-19,27350.389518413598,48392.26823012093,42548.61834298031,28330.893118594435,146622.16921010925
2025-12-22,27407.932011331446,48460.974716013196,44682.8606718171,28160.078086871643,148711.8454860334
2025-12-23,27111.36685552408,48552.583363869555,44955.31713932818,27928.25768667643,148547.52504539824
2025-12-29,27615.97025495751,48254.85525833639,45394.27478142937,27855.051244509516,149120.1515392328
2025-12-30,27461.048158640227,48621.28984976182,45409.41125184665,27940.45876037091,149432.2080206196
